rank,video_id,url,title,our_current_label,chunks_in_corpus,cumulative_share_%,who_teaches_in_it (Preethaji / Krishnaji / both / neither),other_voices (host / interviewer / translator / narrator / audience / none),host_or_other_names,language(s),notes
1,nwQaU-agzFE,https://www.youtube.com/watch?v=nwQaU-agzFE,"Calm Is Your Superpower: Sri Preethaji On Destiny, Dharma & Money",preethaji,604,4.7,,,,,
2,x-mTRlE0TC4,https://www.youtube.com/watch?v=x-mTRlE0TC4,Ekam Co Creator Mukti Guru Sri Krishnaji Exclusive | Frankly Speaking With Navika Kumar,krishnaji,576,9.2,,,,,
3,V45jIC4RthQ,https://www.youtube.com/watch?v=V45jIC4RthQ,Life from a Stress-free Perspective: The Big Question | From Aging Anxiety to Ageless Joy,ekam,494,13.0,,,,,
4,1_-cZz8YRFw,https://www.youtube.com/watch?v=1_-cZz8YRFw,Transform Your Life by Forgiving Yourself | How Forgiveness Frees You: A Life-Changing Story | Ekam,preethaji_krishnaji,471,16.7,,,,,
5,ACvOem_B-Ek,https://www.youtube.com/watch?v=ACvOem_B-Ek,Video Transcript: ACvOem_B-Ek,preethaji_krishnaji,471,20.4,,,,,
6,vARTudIEq30,https://www.youtube.com/watch?v=vARTudIEq30,"Peace For Healing Economic Unrest | Ekam World Peace Festival | Day 01 - Sep 17, 2021, 6:00 PM IST",preethaji_krishnaji,452,23.9,,,,,
7,sMgbjxyrgqw,https://www.youtube.com/watch?v=sMgbjxyrgqw,Becoming a Dheera: Your Path to Courageous Awakening | The Path of Ekam: Living an Enlightened Life,ekam,451,27.4,,,,,
8,AR0r8B6Ga8E,https://www.youtube.com/watch?v=AR0r8B6Ga8E,KARMA CLEANSING CHANGES DESTINY ? PODCAST -SRI KRISHNA JI -EKAM @theonenessmovement  @preetikarao712,krishnaji,439,30.8,,,,,
9,nCkbv_lvFfg,https://www.youtube.com/watch?v=nCkbv_lvFfg,Sri Krishnaji on Creating Fearless Thinkers | Chronic Inflammation of the Mind: The Silent Killer,krishnaji,431,34.2,,,,,
10,kMc_kat7YLE,https://www.youtube.com/watch?v=kMc_kat7YLE,"Free Will or Divine Plan? Unbelievable Answer | Mastering Life: Aspirations, Balance & Inner Growth",ekam,425,37.5,,,,,
11,YkIBYppBtro,https://www.youtube.com/watch?v=YkIBYppBtro,3 Questions That'll Reveal Your Life's Purpose | Life Purpose & Connection: Secrets Revealed!,preethaji_krishnaji,409,40.7,,,,,
12,_GEMrEWCiXw,https://www.youtube.com/watch?v=_GEMrEWCiXw,Beyond Divisiveness: Awakening to Oneness | Unraveling Life's Maze with Sri Krishnaji,krishnaji,408,43.9,,,,,
13,mmpmX3-qfc4,https://www.youtube.com/watch?v=mmpmX3-qfc4,Why Your Life is Unfolding the Way It Is- Exploring Karma | Discover the Magic of Meditation,krishnaji,402,47.0,,,,,
14,U23yKxWbIcI,https://www.youtube.com/watch?v=U23yKxWbIcI,The POWER of an ENLIGHTENED MIND | Unveiling The Science Behind STRESS and HAPPINESS,krishnaji,396,50.1,,,,,
15,Lst4MvxPCx4,https://www.youtube.com/watch?v=Lst4MvxPCx4,Achieving True Freedom through Conscious Living | Sri Krishnaji shares Transformations,krishnaji,384,53.1,,,,,
16,beh0v5Odn6g,https://www.youtube.com/watch?v=beh0v5Odn6g,Toxic Friendships Vs Soulful Connections: Sri Krishnaji,krishnaji,365,55.9,,,,,
17,m-m2wMW4020,https://www.youtube.com/watch?v=m-m2wMW4020,Discover Inner Peace and Oneness: The Anatomy of Depression | Sri Preethaji & Sri Krishnaji,preethaji_krishnaji,348,58.6,,,,,
18,kf-IuHxVN7g,https://www.youtube.com/watch?v=kf-IuHxVN7g,Limitless Field Meditation with Preethaji & Krishnaji,preethaji_krishnaji,344,61.3,,,,,
19,UlOt31lBhLY,https://www.youtube.com/watch?v=UlOt31lBhLY,Manage Your Stress with Preethaji and Krishnaji’s Four Sacred Secrets,preethaji_krishnaji,341,64.0,,,,,
20,T3I8r_NU2Wk,https://www.youtube.com/watch?v=T3I8r_NU2Wk,Secret of the Mystics: Tapping into Abundance | Addiction To Freedom: A Journey of Love & Connection,ekam,331,66.6,,,,,
21,sCiK7ABPcrw,https://www.youtube.com/watch?v=sCiK7ABPcrw,Empowering Conscious Organizational Behaviour with Sri Preethaji,preethaji,306,68.9,,,,,
22,DmzZPgTh7_M,https://www.youtube.com/watch?v=DmzZPgTh7_M,How Anger Controls You: The Hard Truth | Women: A Force of Nature to be Celebrated,krishnaji,158,70.2,,,,,
23,3RyCldrCxL8,https://www.youtube.com/watch?v=3RyCldrCxL8,The Art of Destiny: A Journey Through the Four Pillars | Miracles & UI: A Mystic's Perspective,preethaji,155,71.4,,,,,
24,ECFRWVY8SGY,https://www.youtube.com/watch?v=ECFRWVY8SGY,Tapas HD,krishnaji,21,71.5,,,,,
25,ajMAwlKh3YM,https://www.youtube.com/watch?v=ajMAwlKh3YM,Breaking Your Mental Tethers | The Path to Enlightenment | Experience Love That Knows No Fear,ekam,18,71.7,,,,,
26,btbKcsb9Dzw,https://www.youtube.com/watch?v=btbKcsb9Dzw,Wealth Is Not Outside You | The Inner Shift That Changes,krishnaji,17,71.8,,,,,
27,CrZuPkgwA6Q,https://www.youtube.com/watch?v=CrZuPkgwA6Q,Video Transcript: CrZuPkgwA6Q,ekam,16,71.9,,,,,
28,MmiI3xo5Ju4,https://www.youtube.com/watch?v=MmiI3xo5Ju4,Peace Meditation for the young & intelligent   full version   English,preethaji_krishnaji,16,72.1,,,,,
29,BZDXIQwOPdU,https://www.youtube.com/watch?v=BZDXIQwOPdU,Discover How to Let Go of Anxiety & Be Joyful | The truth about the 'ideal body': Why it's a myth,ekam,16,72.2,,,,,
30,0z-IZ2ar4eA,https://www.youtube.com/watch?v=0z-IZ2ar4eA,IEC 2023 | Mukti Guru Sri Preethaji Co-Creator Of Ekam Speaks On Consciousness Superpower| Times now,preethaji,16,72.3,,,,,
31,wDaE92bNRNw,https://www.youtube.com/watch?v=wDaE92bNRNw,English Episode  02 (Addiction ),preethaji_krishnaji,15,72.4,,,,,
32,HtmLQkxj8ec,https://www.youtube.com/watch?v=HtmLQkxj8ec,Peace Meditation to End All War   English 20 min version,ekam,13,72.5,,,,,
33,UpeaTtqs7Oc,https://www.youtube.com/watch?v=UpeaTtqs7Oc,FOA - Field of Abundance | pkconsciousness,ekam,13,72.6,,,,,
34,rGcNJ_Nsuy8,https://www.youtube.com/watch?v=rGcNJ_Nsuy8,"What is True Love? Love is Connection, Not Expectation",krishnaji,13,72.7,,,,,
35,y-C_8_p_F5w,https://www.youtube.com/watch?v=y-C_8_p_F5w,Oneness Yoga Challenge | Day 01,ekam,13,72.8,,,,,
36,hUmlujE6SN0,https://www.youtube.com/watch?v=hUmlujE6SN0,What Most People Don't Know About Wealth and Purpose,krishnaji,13,72.9,,,,,
37,liMBvMgSPC8,https://www.youtube.com/watch?v=liMBvMgSPC8,The sacred mysteries of Ekam,ekam,12,73.0,,,,,
38,RAOQ3ZubQGM,https://www.youtube.com/watch?v=RAOQ3ZubQGM,The Force of Innovation | Preetha ji | TEDxCaohejingParkSalon,preethaji,12,73.1,,,,,
39,TqxxCYnAxo8,https://www.youtube.com/watch?v=TqxxCYnAxo8,"How to end stress, unhappiness and anxiety to live in a beautiful state | Preetha ji | TEDxKC",preethaji,12,73.2,,,,,
40,NFlAszNFZdQ,https://www.youtube.com/watch?v=NFlAszNFZdQ,"When the Inner State Changes, the Body Responds | Sri Preethaji & Motoko San",preethaji,11,73.3,,,,,
41,s-In3a1CAoI,https://www.youtube.com/watch?v=s-In3a1CAoI,The Sacred Mystery of Ekam,ekam,10,73.4,,,,,
42,8xJampnp9qc,https://www.youtube.com/watch?v=8xJampnp9qc,Limitless Field Meditation with Preethaji & Krishnaji for Courage & Healing - Hindi,preethaji_krishnaji,10,73.5,,,,,
43,JRX5W9AhWoA,https://www.youtube.com/watch?v=JRX5W9AhWoA,PEACE TO YOUNG PEOPLE,ekam,10,73.5,,,,,
44,dR7olu353VY,https://www.youtube.com/watch?v=dR7olu353VY,Ekam OFF 2018 Presentation Video | pkconsciousness,preethaji_krishnaji,10,73.6,,,,,
45,jGG6-a4IrNw,https://www.youtube.com/watch?v=jGG6-a4IrNw,Peace Meditation to End All War   English 10 min version,preethaji_krishnaji,10,73.7,,,,,
46,n3UBbCXJaJ0,https://www.youtube.com/watch?v=n3UBbCXJaJ0,PEACE TO MOTHER EARTH,ekam,10,73.8,,,,,
47,EFJZ2l5Rc10,https://www.youtube.com/watch?v=EFJZ2l5Rc10,Master the Abundance Mindset: Unveiling the 8 Facets of Wealth,preethaji_krishnaji,10,73.9,,,,,
48,Y7bp-LlC3CM,https://www.youtube.com/watch?v=Y7bp-LlC3CM,How to cope with high expectations from parents?,ekam,9,73.9,,,,,
49,zO8tQkjCpyc,https://www.youtube.com/watch?v=zO8tQkjCpyc,Sri Preethaji & Sri  Krishnaji's - The Great Soul Sync Meditation | pkconsciousness,preethaji_krishnaji,9,74.0,,,,,
50,uAPvGyjkrB8,https://www.youtube.com/watch?v=uAPvGyjkrB8,How to conquer depression?,ekam,9,74.1,,,,,
51,kYVY4_zxLVQ,https://www.youtube.com/watch?v=kYVY4_zxLVQ,Draupadi A dark beauty | Evolution During Crisis -54 with Preethaji and Krishnaji,preethaji_krishnaji,8,74.1,,,,,
52,8mmungGgDNw,https://www.youtube.com/watch?v=8mmungGgDNw,Are you facing an addiction ? | Evolution During Crisis -36 With Preethaji & Krishnaji,preethaji_krishnaji,8,74.2,,,,,
53,Ejcq9mNGJk0,https://www.youtube.com/watch?v=Ejcq9mNGJk0,Preethaji | Beautiful State | pkconsciousness,preethaji,8,74.2,,,,,
