video_id,corpus_label,chunks,P,K,other,verdict,clusters,title
nwQaU-agzFE,preethaji,604,0.7,0.0,0.3,MATCH,"[(np.float64(0.67), 'P', 0.82, 0.17), (np.float64(0.21), 'other', 0.16, -0.03)]","Calm Is Your Superpower: Sri Preethaji On Destiny, Dharma & "
x-mTRlE0TC4,krishnaji,576,0.0,0.74,0.26,MATCH,"[(np.float64(0.7), 'K', 0.1, 0.76), (np.float64(0.14), 'other', 0.15, 0.1)]",Ekam Co Creator Mukti Guru Sri Krishnaji Exclusive | Frankly
V45jIC4RthQ,ekam,494,0.3,0.45,0.25,org label; heard preethaji_krishnaji,"[(np.float64(0.41), 'K', 0.14, 0.76), (np.float64(0.29), 'P', 0.77, 0.15), (np.float64(0.05), 'other', -0.04, -0.08)]",Life from a Stress-free Perspective: The Big Question | From
1_-cZz8YRFw,preethaji_krishnaji,471,0.27,0.32,0.41,MATCH,"[(np.float64(0.28), 'K', 0.12, 0.71), (np.float64(0.27), 'P', 0.75, 0.12), (np.float64(0.06), 'other', 0.1, 0.53), (np.float64(0.05), 'other', 0.52, 0.09), (np.float64(0.05), 'other', -0.05, -0.07), (np.float64(0.04), 'K', 0.08, 0.62)]",Transform Your Life by Forgiving Yourself | How Forgiveness 
ACvOem_B-Ek,preethaji_krishnaji,471,0.0,0.21,0.79,MISMATCH (heard krishnaji),"[(np.float64(0.46), 'other', -0.06, -0.03), (np.float64(0.14), 'K', 0.12, 0.79), (np.float64(0.12), 'other', 0.31, 0.09)]",Video Transcript: ACvOem_B-Ek
vARTudIEq30,preethaji_krishnaji,452,0.0,0.16,0.84,MISMATCH (heard krishnaji),"[(np.float64(0.29), 'other', -0.02, -0.01), (np.float64(0.13), 'other', 0.11, -0.02), (np.float64(0.09), 'K', 0.14, 0.82), (np.float64(0.05), 'other', 0.33, 0.09)]",Peace For Healing Economic Unrest | Ekam World Peace Festiva
sMgbjxyrgqw,ekam,451,0.27,0.4,0.33,org label; heard preethaji_krishnaji,"[(np.float64(0.2), 'P', 0.79, 0.1), (np.float64(0.19), 'K', 0.1, 0.82), (np.float64(0.07), 'K', 0.17, 0.76), (np.float64(0.07), 'K', 0.1, 0.72), (np.float64(0.05), 'other', -0.05, -0.08), (np.float64(0.04), 'other', 0.49, 0.09), (np.float64(0.04), 'P', 0.63, 0.12), (np.float64(0.03), 'K', 0.15, 0.66), (np.float64(0.03), 'K', 0.03, 0.56)]",Becoming a Dheera: Your Path to Courageous Awakening | The P
AR0r8B6Ga8E,krishnaji,439,0.0,0.77,0.23,MATCH,"[(np.float64(0.75), 'K', 0.09, 0.86), (np.float64(0.21), 'other', 0.31, 0.12)]",KARMA CLEANSING CHANGES DESTINY ? PODCAST -SRI KRISHNA JI -E
nCkbv_lvFfg,krishnaji,431,0.44,0.39,0.17,MISMATCH (heard preethaji_krishnaji),"[(np.float64(0.33), 'P', 0.81, 0.13), (np.float64(0.33), 'K', 0.15, 0.77), (np.float64(0.04), 'K', 0.09, 0.69)]",Sri Krishnaji on Creating Fearless Thinkers | Chronic Inflam
kMc_kat7YLE,ekam,425,0.0,0.83,0.17,org label; heard krishnaji,"[(np.float64(0.4), 'K', 0.12, 0.88), (np.float64(0.29), 'K', 0.14, 0.83), (np.float64(0.06), 'K', 0.17, 0.74), (np.float64(0.05), 'other', -0.06, -0.07)]",Free Will or Divine Plan? Unbelievable Answer | Mastering Li
YkIBYppBtro,preethaji_krishnaji,409,0.0,0.83,0.17,MISMATCH (heard krishnaji),"[(np.float64(0.49), 'K', 0.12, 0.8), (np.float64(0.15), 'K', 0.16, 0.69), (np.float64(0.09), 'K', 0.12, 0.77), (np.float64(0.05), 'other', -0.04, -0.09)]",3 Questions That'll Reveal Your Life's Purpose | Life Purpos
_GEMrEWCiXw,krishnaji,408,0.0,0.76,0.24,MATCH,"[(np.float64(0.33), 'K', 0.16, 0.64), (np.float64(0.21), 'K', 0.14, 0.8), (np.float64(0.16), 'K', 0.17, 0.72), (np.float64(0.05), 'other', -0.05, -0.08)]",Beyond Divisiveness: Awakening to Oneness | Unraveling Life'
mmpmX3-qfc4,krishnaji,402,0.43,0.39,0.18,MISMATCH (heard preethaji_krishnaji),"[(np.float64(0.41), 'P', 0.78, 0.17), (np.float64(0.38), 'K', 0.14, 0.77), (np.float64(0.07), 'other', -0.04, -0.07)]",Why Your Life is Unfolding the Way It Is- Exploring Karma | 
U23yKxWbIcI,krishnaji,396,0.0,0.79,0.21,MATCH,"[(np.float64(0.52), 'K', 0.16, 0.83), (np.float64(0.05), 'K', 0.09, 0.63), (np.float64(0.04), 'K', 0.07, 0.63)]",The POWER of an ENLIGHTENED MIND | Unveiling The Science Beh
